"Story","Title","Result","Date","Stability","Duration (s)"
"Autenticacion pagina web libreria nacional","Ingreso exitoso a la aplicacion web de libreria nacional","SUCCESS","2021-06-15T07:26:14.065-05:00[America/Bogota]","0.0","22.47"
"Autenticacion pagina web libreria nacional","Busqueda exitosa a la aplicacion web de libreria nacional","SUCCESS","2021-06-15T07:26:36.693-05:00[America/Bogota]","0.0","32.32"
